Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60.0,6.0,65,8450.0,2,3,1,1,1,1,1,6,3,3,1,4,7.0,5.0,2003.0,2003.0,2,2,15,15.0,2.0,196,2,3,3,2,3,4,1,706.0,6,0.0,150.0,856.0,2,1,2,1.0,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3,1,2,8.0,1,0.0,6,2,2003,2,2.0,548.0,3,3,1,0.0,61.0,0.0,0.0,0.0,0.0,5,5,6,0.0,2.0,2008.0,1,1,208500
2,20.0,6.0,80,9600.0,2,3,1,1,1,4,1,25,2,3,1,1,6.0,8.0,1976.0,1976.0,2,2,9,9.0,4.0,0,3,3,2,2,3,1,2,978.0,6,0.0,284.0,1262.0,2,1,2,1.0,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3,1,3,6.0,1,1.0,3,2,1976,2,2.0,460.0,3,3,1,298.0,0.0,0.0,0.0,0.0,0.0,5,5,6,0.0,5.0,2007.0,1,1,181500
3,60.0,6.0,68,11250.0,2,3,2,1,1,1,1,6,3,3,1,4,7.0,5.0,2001.0,2002.0,2,2,15,15.0,2.0,162,2,3,3,2,3,3,1,486.0,6,0.0,434.0,920.0,2,1,2,1.0,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3,1,2,6.0,1,1.0,3,2,2001,2,2.0,608.0,3,3,1,0.0,42.0,0.0,0.0,0.0,0.0,5,5,6,0.0,9.0,2008.0,1,1,223500
4,70.0,6.0,60,9550.0,2,3,2,1,1,2,1,7,3,3,1,4,7.0,5.0,1915.0,1970.0,2,2,16,17.0,4.0,0,3,3,1,3,2,4,2,216.0,6,0.0,540.0,756.0,2,2,2,1.0,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3,1,2,7.0,1,1.0,2,6,1998,3,3.0,642.0,3,3,1,0.0,35.0,272.0,0.0,0.0,0.0,5,5,6,0.0,2.0,2006.0,1,2,140000
5,60.0,6.0,84,14260.0,2,3,2,1,1,4,1,14,3,3,1,4,8.0,5.0,2000.0,2000.0,2,2,15,15.0,2.0,350,2,3,3,2,3,2,1,655.0,6,0.0,490.0,1145.0,2,1,2,1.0,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4,1,2,9.0,1,1.0,3,2,2000,2,3.0,836.0,3,3,1,192.0,84.0,0.0,0.0,0.0,0.0,5,5,6,0.0,12.0,2008.0,1,1,250000
6,50.0,6.0,85,14115.0,2,3,2,1,1,1,1,12,3,3,1,2,5.0,5.0,1993.0,1995.0,2,2,15,15.0,4.0,0,3,3,6,2,3,4,1,732.0,6,0.0,64.0,796.0,2,1,2,1.0,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1,1,3,5.0,1,0.0,6,2,1993,3,2.0,480.0,3,3,1,40.0,30.0,0.0,320.0,0.0,0.0,5,2,4,700.0,10.0,2009.0,1,1,143000
7,20.0,6.0,75,10084.0,2,3,1,1,1,1,1,22,3,3,1,1,8.0,5.0,2004.0,2005.0,2,2,15,15.0,5.0,186,2,3,3,1,3,2,1,1369.0,6,0.0,317.0,1686.0,2,1,2,1.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3,1,2,7.0,1,1.0,2,2,2004,2,2.0,636.0,3,3,1,255.0,57.0,0.0,0.0,0.0,0.0,5,5,6,0.0,8.0,2007.0,1,1,307000
8,60.0,6.0,NA,10382.0,2,3,2,1,1,2,1,17,6,3,1,4,7.0,6.0,1973.0,1973.0,2,2,7,7.0,5.0,240,3,3,2,2,3,3,2,859.0,3,32.0,216.0,1107.0,2,1,2,1.0,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3,1,3,7.0,1,2.0,3,2,1973,2,2.0,484.0,3,3,1,235.0,204.0,228.0,0.0,0.0,0.0,5,5,4,350.0,11.0,2009.0,1,1,200000
9,50.0,8.0,51,6120.0,2,3,1,1,1,1,1,18,1,3,1,2,7.0,5.0,1931.0,1950.0,2,2,4,17.0,4.0,0,3,3,1,3,3,4,6,0.0,6,0.0,952.0,952.0,2,2,2,3.0,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2,2,3,8.0,2,2.0,3,6,1931,3,2.0,468.0,4,3,1,90.0,0.0,205.0,0.0,0.0,0.0,5,5,6,0.0,4.0,2008.0,1,2,129900
10,190.0,6.0,50,7420.0,2,3,1,1,1,2,1,4,1,1,2,3,5.0,6.0,1939.0,1950.0,2,2,9,9.0,4.0,0,3,3,1,3,3,4,1,851.0,6,0.0,140.0,991.0,2,1,2,1.0,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2,2,3,5.0,1,2.0,3,2,1939,2,1.0,205.0,2,3,1,0.0,4.0,0.0,0.0,0.0,0.0,5,5,6,0.0,1.0,2008.0,1,1,118000
11,20.0,6.0,70,11200.0,2,3,1,1,1,1,1,20,3,3,1,1,5.0,5.0,1965.0,1965.0,4,2,7,7.0,4.0,0,3,3,2,3,3,4,4,906.0,6,0.0,134.0,1040.0,2,1,2,1.0,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3,1,3,5.0,1,0.0,6,6,1965,3,1.0,384.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,5,6,0.0,2.0,2008.0,1,1,129500
12,60.0,6.0,85,11924.0,2,3,2,1,1,1,1,16,3,3,1,4,9.0,5.0,2005.0,2006.0,4,2,17,17.0,5.0,286,1,3,3,1,3,4,1,998.0,6,0.0,177.0,1175.0,2,1,2,1.0,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4,1,1,11.0,1,2.0,2,4,2005,1,3.0,736.0,3,3,1,147.0,21.0,0.0,0.0,0.0,0.0,5,5,6,0.0,7.0,2006.0,4,6,345000
